,Região,ano,capacidade,Dependência_união,Dependência_estadual,Dependência_sus_união,Dependência_sus_estado
93, Sobral,2015,0.0721829258017915,0.7227105455079743,0.293954860633049,1.0116649871367263,0.03304791421106294
94, Sobral,2016,0.06321828164486443,0.7293877861515047,0.28154713362508355,1.0575974334841602,0.01605279793925039
95, Sobral,2017,0.07586084516949056,0.7009498647503268,0.2973530385320602,1.0565032969508097,0.019731513251672474
96, Sobral,2018,0.07672729717007065,0.7169620920122186,0.2920483031075621,0.9294183102569663,0.02652856858646193
97, Sobral,2019,0.06949901272442902,0.7046905497759498,0.31534307205440304,1.0034353809913328,0.016724995194864988
98, Sobral ,2013,0.055194286384571294,0.782654057583222,0.16164236720204148,0.8564845756475151,0.12260245260148854
99, Sobral ,2014,0.06995296054904308,0.7804605133460768,0.14913572349784668,0.7445921355218196,0.11002956638831399
100, Sobral ,2015,0.06865908729468939,0.7792570418628391,0.15166597012386135,0.8772259436363817,0.11445312016451868
101, Sobral ,2016,0.08683409352494068,0.7785614756213596,0.13423932151117965,0.9045217033850642,0.0928781387221
102, Sobral ,2017,0.09012136862068287,0.725921231469876,0.1834867656033651,0.9143667899940414,0.08563281252540714
103, Sobral ,2018,0.09168221866005195,0.7224883604298786,0.1858290943182084,0.8895463136547485,0.10480436676346175
104, Sobral ,2019,0.07947904760613987,0.7047341560086318,0.21578675346696724,0.8168034573570512,0.08133950467095673
105, Tauá,2013,0.12793771127026884,0.710726248858195,0.1608206899410625,0.948414729293844,0.027850213045870126
106, Tauá,2014,0.1793764610369742,0.5356560452763375,0.2841286669223269,0.6501525154060681,0.28703459917920227
107, Tauá,2015,0.14356232814894107,0.6812218234639741,0.17470718616771058,0.9989428377497446,0.0008976794888772456
108, Tauá,2016,0.1348700882587417,0.7045353386872191,0.16015535732517147,0.8104386657529864,0.18602381307930624
109, Tauá,2017,0.12348353997623157,0.6805001642202512,0.19548129155758115,1.0,0.0
110, Tauá,2018,0.12647813937032087,0.6771285488746474,0.19639204420980527,0.8706208366617563,0.12865198501140285
111, Tauá,2019,0.13228020258698328,0.6790942907674758,0.18862458417668254,0.9161432780991355,0.08371096183767479
112, Tianguá,2013,0.08391442962010395,0.6934553667966734,0.22190033615625623,0.9455513995756282,0.023075326834757087
113, Tianguá,2014,0.0963670111026857,0.7053165340606856,0.19774154346068284,0.961927515974995,0.0036499162368204023
114, Tianguá,2015,0.09375618270697161,0.7160137802991792,0.18971098600473657,0.8592626827107901,0.09043762376819886
115, Tianguá,2016,0.09996267967046898,0.7105638411407692,0.18898249838988396,0.8794138955688331,0.11017517907705339
